,degree_binary,degree_xeno,degree_all,avg_degree_nbr_binary,avg_degree_nbr_xeno,avg_degree_nbr_all,strongly_connected_component_sizes_all
A0A087X1C5,0,0,0,0.0,0,0.0,1
A0A0B4J2F0,1,0,1,1.0,0,1.0,2
A0A0B4J2F2,6,0,6,33.0,0,33.0,2
A0A0C5B5G6,0,0,0,0.0,0,0.0,1
A0A0K2S4Q6,0,0,0,0.0,0,0.0,1
A0A0U1RRE5,2,0,2,13.0,0,13.0,3
A0A1B0GTW7,0,0,0,0.0,0,0.0,1
A0AV02,1,0,1,91.0,0,91.0,2
A0AV96,9,0,9,38.888888888888886,0,38.888888888888886,2
A0AVF1,0,0,0,0.0,0,0.0,1
A0AVI4,3,0,3,226.0,0,226.0,2
A0AVK6,18,0,18,168.22222222222223,0,168.22222222222223,2
A0AVT1,1,0,1,97.0,0,97.0,2
A0FGR8,3,0,3,2.6666666666666665,0,2.6666666666666665,4
A0FGR9,2,0,2,3.0,0,3.0,3
A0JLT2,14,0,14,116.0,0,116.0,2
A0JNW5,0,0,0,0.0,0,0.0,1
A0JP26,7,0,7,88.28571428571429,0,88.28571428571429,2
A0M8Q6,0,0,0,0.0,0,0.0,1
A0MZ66,12,0,12,31.916666666666668,0,31.916666666666668,3
A0PJK1,0,0,0,0.0,0,0.0,1
A0PJY2,6,0,6,299.1666666666667,0,299.1666666666667,2
A0PK00,53,0,53,72.67924528301887,0,72.67924528301887,2
A0PK11,12,0,12,42.916666666666664,0,42.916666666666664,2
A1A4S6,1,0,1,8.0,0,8.0,2
A1A4Y4,1,0,1,170.0,0,170.0,2
A1A519,0,0,0,0.0,0,0.0,1
A1A5B4,2,0,2,86.5,0,86.5,2
A1A5C7,13,0,13,91.61538461538461,0,91.61538461538461,2
A1E959,9,0,9,95.77777777777777,0,95.77777777777777,2
A1KXE4,53,0,53,69.26415094339623,0,69.26415094339623,2
A1KZ92,0,0,0,0.0,0,0.0,1
A1L0T0,1,0,1,97.0,0,97.0,2
A1L167,0,0,0,0.0,0,0.0,1
A1L190,10,0,10,193.4,0,193.4,2
A1L390,0,0,0,0.0,0,0.0,1
A1L3X0,11,0,11,28.727272727272727,0,28.727272727272727,2
A1L4H1,18,0,18,68.38888888888889,0,68.38888888888889,3
A1L4K1,88,0,88,77.9090909090909,0,77.9090909090909,2
A1X283,0,0,0,0.0,0,0.0,1
A1XBS5,3,0,3,52.333333333333336,0,52.333333333333336,2
A1Z1Q3,0,0,0,0.0,0,0.0,1
A2A288,0,0,0,0.0,0,0.0,1
A2A2Y4,12,0,12,50.75,0,50.75,2
A2IDD5,1,0,1,245.0,0,245.0,2
A2PYH4,0,0,0,0.0,0,0.0,1
A2RRP1,0,0,0,0.0,0,0.0,1
A2RTX5,6,0,6,23.0,0,23.0,2
A2RU14,65,0,65,59.30769230769231,0,59.30769230769231,2
A2RU30,0,0,0,0.0,0,0.0,1
A2RU49,0,0,0,0.0,0,0.0,1
A2RUB1,0,0,0,0.0,0,0.0,1
A2RUB6,0,0,0,0.0,0,0.0,1
A2RUC4,0,0,0,0.0,0,0.0,1
A2RUH7,11,0,11,119.63636363636364,0,119.63636363636364,2
A2VDJ0,0,0,0,0.0,0,0.0,1
A2VEC9,0,0,0,0.0,0,0.0,1
A3KMH1,0,0,0,0.0,0,0.0,1
A4D0S4,0,0,0,0.0,0,0.0,1
A4D126,0,0,0,0.0,0,0.0,1
A4D161,12,0,12,169.66666666666666,0,169.66666666666666,2
A4D1B5,1,0,1,389.0,0,389.0,2
A4D1E9,3,0,3,296.0,0,296.0,2
A4D1P6,2,0,2,411.5,0,411.5,2
A4D1T9,0,0,0,0.0,0,0.0,1
A4D256,0,0,0,0.0,0,0.0,1
A4D2B0,0,0,0,0.0,0,0.0,1
A4D2B8,0,0,0,0.0,0,0.0,1
A4GXA9,1,0,1,4.0,0,4.0,2
A4UGR9,0,0,0,0.0,0,0.0,1
A5A3E0,0,0,0,0.0,0,0.0,1
A5D8T8,6,0,6,303.8333333333333,0,303.8333333333333,2
A5D8V6,90,0,90,71.47777777777777,0,71.47777777777777,2
A5D8V7,22,0,22,147.72727272727272,0,147.72727272727272,2
A5D8W1,0,0,0,0.0,0,0.0,1
A5LHX3,5,0,5,86.6,0,86.6,2
A5PKW4,0,0,0,0.0,0,0.0,1
A5PLL7,2,0,2,186.5,0,186.5,2
A5X5Y0,2,0,2,4.0,0,4.0,3
A5YKK6,14,0,14,9.428571428571429,0,9.428571428571429,2
A5YM72,0,0,0,0.0,0,0.0,1
A6BM72,1,0,1,65.0,0,65.0,2
A6H8Y1,0,0,0,0.0,0,0.0,1
A6H8Z2,14,0,14,150.5,0,150.5,3
A6NC98,37,0,37,84.83783783783784,0,84.83783783783784,2
A6NCS4,0,0,0,0.0,0,0.0,1
A6ND01,1,0,1,2.0,0,2.0,2
A6ND36,1,0,1,17.0,0,17.0,2
A6NDB9,1,0,1,1.0,0,1.0,2
A6NDE4,0,0,0,0.0,0,0.0,1
A6NDG6,0,0,0,0.0,0,0.0,1
A6NDV4,0,0,0,0.0,0,0.0,1
A6NED2,1,0,1,5.0,0,5.0,2
A6NEM1,211,0,211,54.19431279620853,0,54.19431279620853,2
A6NFA1,0,0,0,0.0,0,0.0,1
A6NFQ2,0,0,0,0.0,0,0.0,1
A6NFX1,0,0,0,0.0,0,0.0,1
A6NFY7,4,0,4,54.75,0,54.75,2
A6NGG8,0,0,0,0.0,0,0.0,1
A6NGQ2,12,0,12,104.25,0,104.25,2
A6NGU5,0,0,0,0.0,0,0.0,1
A6NHL2,0,0,0,0.0,0,0.0,1
A6NHR9,1,0,1,25.0,0,25.0,2
A6NHX0,4,0,4,5.0,0,5.0,4
A6NI15,27,0,27,52.77777777777778,0,52.77777777777778,2
A6NI61,0,0,0,0.0,0,0.0,1
A6NI73,0,0,0,0.0,0,0.0,1
A6NIH7,0,0,0,0.0,0,0.0,1
A6NIX2,2,0,2,21.0,0,21.0,2
A6NJ46,0,0,0,0.0,0,0.0,1
A6NJ78,20,0,20,101.6,0,101.6,2
A6NK06,0,0,0,0.0,0,0.0,1
A6NK58,0,0,0,0.0,0,0.0,1
A6NK89,21,0,21,54.80952380952381,0,54.80952380952381,2
A6NKB5,3,0,3,41.0,0,41.0,2
A6NMY6,0,0,0,0.0,0,0.0,1
A6NMZ7,0,0,0,0.0,0,0.0,1
A6NNB3,0,0,0,0.0,0,0.0,1
A6NNM8,0,0,0,0.0,0,0.0,1
A6NNN8,0,0,0,0.0,0,0.0,1
A6NNY8,0,0,0,0.0,0,0.0,1
A6NNZ2,0,0,0,0.0,0,0.0,1
A6PVC2,0,0,0,0.0,0,0.0,1
A7E2V4,0,0,0,0.0,0,0.0,1
A7E2Y1,7,0,7,107.71428571428571,0,107.71428571428571,2
A7KAX9,10,0,10,153.3,0,153.3,2
A7MCY6,5,0,5,16.8,0,16.8,2
A7MD48,27,0,27,30.703703703703702,0,30.703703703703702,4
A7XYQ1,0,0,0,0.0,0,0.0,1
A8CG34,0,0,0,0.0,0,0.0,1
A8K0Z3,3,0,3,45.666666666666664,0,45.666666666666664,2
A8K2U0,0,0,0,0.0,0,0.0,1
A8K4G0,6,0,6,4.666666666666667,0,4.666666666666667,3
A8K7I4,0,0,0,0.0,0,0.0,1
A8K830,0,0,0,0.0,0,0.0,1
A8K8P3,3,0,3,39.666666666666664,0,39.666666666666664,2
A8K8V0,20,0,20,144.6,0,144.6,2
A8MPY1,0,0,0,0.0,0,0.0,1
A8MQ03,487,0,487,47.714579055441476,0,47.714579055441476,3
A8MQ27,0,0,0,0.0,0,0.0,1
A8MT69,4,0,4,170.75,0,170.75,3
A8MTA8,21,0,21,70.14285714285714,0,70.14285714285714,2
A8MTJ3,0,0,0,0.0,0,0.0,1
A8MTJ6,0,0,0,0.0,0,0.0,1
