subcellular_location	group
Apical cell membrane	cell membrane
Apicolateral cell membrane	cell membrane
Autolysosome membrane	cell membrane
Basal cell membrane	cell membrane
Basolateral cell membrane	cell membrane
Cell junction	cell junction
Cell junction, Adherens junction	cell junction
Cell junction, Desmosome	cell junction
Cell junction, Focal adhesion	cell junction
Cell junction, Gap junction	cell junction
Cell junction, Hemidesmosome	cell junction
Cell junction, Paranodal septate junction	cell junction
Cell junction, Tight junction	cell junction
Cell membrane	cell membrane
Cell membrane, Sarcolemma	cell membrane
Cell membrane, Sarcolemma, T-tubule	cell membrane
Cell projection	cell projection
Cell projection, Axon	cell projection
Cell projection, Bleb	cell projection
Cell projection, Cilium	cell projection
Cell projection, Cilium membrane	cell projection
Cell projection, Cilium, Flagellum	cell projection
Cell projection, Cilium, Flagellum membrane	cell projection
Cell projection, Cilium, Photoreceptor outer segment	cell projection
Cell projection, Dendrite	cell projection
Cell projection, Dendritic spine	cell projection
Cell projection, Dendritic spine membrane	cell projection
Cell projection, Filopodium	cell projection
Cell projection, Filopodium membrane	cell projection
Cell projection, Filopodium tip	cell projection
Cell projection, Growth cone	cell projection
Cell projection, Growth cone membrane	cell projection
Cell projection, Invadopodium	cell projection
Cell projection, Invadopodium membrane	cell projection
Cell projection, Kinocilium	cell projection
Cell projection, Lamellipodium	cell projection
Cell projection, Lamellipodium membrane	cell projection
Cell projection, Microvillus	cell projection
Cell projection, Microvillus membrane	cell projection
Cell projection, Neuron projection	cell projection
Cell projection, Phagocytic cup	cell projection
Cell projection, Podosome	cell projection
Cell projection, Podosome membrane	cell projection
Cell projection, Pseudopodium	cell projection
Cell projection, Pseudopodium membrane	cell projection
Cell projection, Ruffle	cell projection
Cell projection, Ruffle membrane	cell projection
Cell projection, Stereocilium	cell projection
Cell projection, Stereocilium membrane	cell projection
Cell projection, Uropodium	cell projection
Cell surface	cell surface
Chromosome	chromosome
Chromosome, Centromere	chromosome
Chromosome, Centromere, Kinetochore	chromosome
Chromosome, Telomere	chromosome
Cleavage furrow	cleavage furrow
Cornified envelope	cornified envelope
Cytolytic granule	cytolitic granule
Cytolytic granule membrane	cytolitic granule
Cytoplasm	cytoplasm
Cytoplasm, Cell cortex	cytoplasm
Cytoplasm, Cytoplasmic ribonucleoprotein granule	cytoplasm
Cytoplasm, Cytoskeleton	cytoplasm
Cytoplasm, Cytoskeleton, Cilium axoneme	cytoplasm
Cytoplasm, Cytoskeleton, Cilium basal body	cytoplasm
Cytoplasm, Cytoskeleton, Flagellum axoneme	cytoplasm
Cytoplasm, Cytoskeleton, Flagellum basal body	cytoplasm
Cytoplasm, Cytoskeleton, Microtubule organizing center	cytoplasm
Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome	cytoplasm
Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome, Centriolar satellite	cytoplasm
Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome, Centriole	cytoplasm
Cytoplasm, Cytoskeleton, Microtubule organizing center, Spindle pole body	cytoplasm
Cytoplasm, Cytoskeleton, Perinuclear theca	cytoplasm
Cytoplasm, Cytoskeleton, Perinuclear theca, Calyx	cytoplasm
Cytoplasm, Cytoskeleton, Spindle	cytoplasm
Cytoplasm, Cytoskeleton, Spindle pole	cytoplasm
Cytoplasm, Cytoskeleton, Stress fiber	cytoplasm
Cytoplasm, Cytosol	cytoplasm
Cytoplasm, Myofibril	cytoplasm
Cytoplasm, Myofibril, Sarcomere	cytoplasm
Cytoplasm, Myofibril, Sarcomere, A band	cytoplasm
Cytoplasm, Myofibril, Sarcomere, H zone	cytoplasm
Cytoplasm, Myofibril, Sarcomere, I band	cytoplasm
Cytoplasm, Myofibril, Sarcomere, M line	cytoplasm
Cytoplasm, Myofibril, Sarcomere, Z line	cytoplasm
Cytoplasm, P-body	cytoplasm
Cytoplasm, Perinuclear region	cytoplasm
Cytoplasm, Sarcoplasm	cytoplasm
Cytoplasm, Stress granule	cytoplasm
Cytoplasmic granule	cytoplasmic granule
Cytoplasmic granule lumen	cytoplasmic granule
Cytoplasmic granule membrane	cytoplasmic granule
Cytoplasmic vesicle	cytoplasmic vesicle
Cytoplasmic vesicle lumen	cytoplasmic vesicle
Cytoplasmic vesicle membrane	cytoplasmic vesicle
Cytoplasmic vesicle, Autophagosome	cytoplasmic vesicle
Cytoplasmic vesicle, Autophagosome lumen	cytoplasmic vesicle
Cytoplasmic vesicle, Autophagosome membrane	cytoplasmic vesicle
Cytoplasmic vesicle, COPI-coated vesicle	cytoplasmic vesicle
