,Partition_1,Partition_2,Partition_3,Partition_4,Partition_5,Partition_6,Partition_7,Partition_8,Partition_Average
Sequence Length,0.000600035387417349,0.0009578027126379762,0.0005782267735878608,0.0006560380397486173,0.0006192839057519574,0.0010961428427331856,0.0009425949508902461,0.002652421926349189,0.0010128183173895478
Molecular Weight,0.0007420602910860358,0.0008232460626517127,0.0005552340071492839,0.00059079535524469,0.00038755678605170945,0.0006209103511947703,0.0004659336116400047,0.0033868956560687584,0.0009465790151358707
GRAVY,0.0056967476703213915,0.0037067966572577153,0.003962320222588429,0.003860457422210435,0.0035840034501179213,0.0025208345563176183,0.0021593638867219733,0.0013004344594920694,0.0033488697906284438
Isoelectric Point,0.0007007565796959284,0.0007217922367237222,0.00053346086076284,0.0007220695661672023,0.0004562973370945377,0.000486877184828658,0.0006016894050302622,0.00031153523834793383,0.0005668098010813856
Instability Index,0.004350655693905446,0.0020989649343634256,0.00710436576574649,0.007185732008183524,0.003852269969083543,0.0018368610860409265,0.0013008869064952543,0.0010680576122438958,0.0035997242470078134
Aromaticity,0.004147330562678992,0.00506614564863902,0.002790538670583393,0.002300780287134303,0.0039320409832076155,0.0011456593454083122,0.000736595252592421,0.0020680248363447707,0.0027733894483236037
Charge at 7,0.0005680768575430773,0.0008973401195415304,0.0007452077887559064,0.00043792034017526015,0.0005244947013483541,0.0006361029178101989,0.0006928421632593451,0.00023068132105156846,0.000591583276185655
Amino Acid Percent A,0.0006642591538392378,0.0005664325610269089,0.00037376212126295197,0.0005629154414437802,0.0004583531480636247,0.0005241787569281838,0.0003020569763861377,0.00035406850415473204,0.0004757533328881947
Amino Acid Percent C,0.0009004051104213402,0.0012538811786616938,0.0006259568980765542,0.00051723491379392,0.0006717708507565528,0.0008901436711828796,0.0003307693383597987,0.00024858504069893967,0.0006798433752439599
Amino Acid Percent D,0.0011929859990829073,0.0005455208142700305,0.0005982357240986149,0.00047450587866190155,0.0004283101680573672,0.00045575909452280226,0.00040111530679056166,0.00029368361809311867,0.000548764575447163
Amino Acid Percent E,0.000928360259930435,0.0009736100227944471,0.0007644886411212075,0.000732482412404774,0.0006691266323907366,0.0003810237833425528,0.0005046184203826735,0.0005689027977222974,0.0006903266212611404
Amino Acid Percent F,0.0022333112145884433,0.0025643402432218316,0.0010571344006616054,0.0018049141973568673,0.0014066390611397295,0.001146222612424974,0.0009601374891554064,0.0016632423523717744,0.001604492696365079
Amino Acid Percent G,0.0006805287286786622,0.0008230153707039742,0.0005752404843456895,0.0006896738417414334,0.000799099634576285,0.0005260686904802247,0.0007519071627164519,0.0006932554480722086,0.0006923486701643662
Amino Acid Percent H,0.0005830137613758086,0.0005280928328249563,0.0005872680572145283,0.0005899733639341049,0.0006604843544952095,0.0007437781977145452,0.0004337661069785284,0.00037976439150501286,0.0005632676332553367
Amino Acid Percent I,0.002139607956272621,0.0010639504280758364,0.0017021406250895517,0.0022616142474931825,0.001654662572319574,0.0012246941673824644,0.0005463417345361149,0.0012022075200458812,0.001474402406401903
