,test_accuracy,test_accuracy_druggable,test_accuracy_non_druggable
1,0.57,0.15333333333333332,0.9866666666666667
2,0.6116666666666667,0.7,0.5233333333333333
3,0.6533333333333333,0.6966666666666667,0.61
4,0.6683333333333333,0.6766666666666666,0.66
5,0.6833333333333333,0.6666666666666666,0.7
6,0.705,0.6933333333333334,0.7166666666666667
7,0.705,0.6933333333333334,0.7166666666666667
8,0.7116666666666667,0.6933333333333334,0.73
9,0.7016666666666667,0.6966666666666667,0.7066666666666667
10,0.7016666666666667,0.6966666666666667,0.7066666666666667
11,0.7166666666666667,0.7033333333333334,0.73
12,0.745,0.7466666666666667,0.7433333333333333
13,0.7466666666666667,0.75,0.7433333333333333
14,0.735,0.74,0.73
15,0.7433333333333333,0.75,0.7366666666666667
16,0.7283333333333334,0.74,0.7166666666666667
17,0.7283333333333334,0.74,0.7166666666666667
18,0.725,0.7433333333333333,0.7066666666666667
19,0.715,0.73,0.7
20,0.72,0.73,0.71
21,0.7283333333333334,0.72,0.7366666666666667
22,0.7366666666666667,0.7366666666666667,0.7366666666666667
23,0.7416666666666667,0.7433333333333333,0.74
24,0.7483333333333333,0.75,0.7466666666666667
25,0.7516666666666667,0.7666666666666667,0.7366666666666667
26,0.75,0.7533333333333333,0.7466666666666667
27,0.7583333333333333,0.7766666666666666,0.74
28,0.7683333333333333,0.78,0.7566666666666667
29,0.7533333333333333,0.78,0.7266666666666667
30,0.7716666666666666,0.7866666666666666,0.7566666666666667
31,0.7666666666666667,0.78,0.7533333333333333
32,0.7766666666666666,0.79,0.7633333333333333
33,0.7683333333333333,0.7833333333333333,0.7533333333333333
34,0.7716666666666666,0.79,0.7533333333333333
35,0.7716666666666666,0.78,0.7633333333333333
36,0.7783333333333333,0.7966666666666666,0.76
37,0.79,0.8133333333333334,0.7666666666666667
38,0.79,0.8133333333333334,0.7666666666666667
39,0.78,0.82,0.74
40,0.775,0.8033333333333333,0.7466666666666667
41,0.7783333333333333,0.8,0.7566666666666667
42,0.78,0.8,0.76
43,0.7866666666666666,0.8133333333333334,0.76
44,0.7783333333333333,0.8066666666666666,0.75
45,0.7866666666666666,0.8133333333333334,0.76
46,0.7766666666666666,0.81,0.7433333333333333
47,0.785,0.81,0.76
48,0.7866666666666666,0.82,0.7533333333333333
49,0.78,0.8166666666666667,0.7433333333333333
50,0.7816666666666666,0.8033333333333333,0.76
51,0.78,0.82,0.74
52,0.7916666666666666,0.81,0.7733333333333333
53,0.7766666666666666,0.8066666666666666,0.7466666666666667
54,0.7716666666666666,0.8,0.7433333333333333
55,0.78,0.8166666666666667,0.7433333333333333
56,0.7816666666666666,0.8033333333333333,0.76
57,0.7783333333333333,0.8166666666666667,0.74
58,0.7783333333333333,0.8033333333333333,0.7533333333333333
59,0.7783333333333333,0.8066666666666666,0.75
60,0.775,0.81,0.74
61,0.78,0.8,0.76
62,0.79,0.82,0.76
63,0.7883333333333333,0.8,0.7766666666666666
64,0.7816666666666666,0.8066666666666666,0.7566666666666667
65,0.7716666666666666,0.8,0.7433333333333333
66,0.78,0.8033333333333333,0.7566666666666667
67,0.7933333333333333,0.8166666666666667,0.77
68,0.78,0.8,0.76
69,0.7783333333333333,0.81,0.7466666666666667
70,0.7833333333333333,0.81,0.7566666666666667
71,0.775,0.81,0.74
72,0.775,0.81,0.74
73,0.7766666666666666,0.8,0.7533333333333333
74,0.7783333333333333,0.8033333333333333,0.7533333333333333
75,0.7716666666666666,0.8033333333333333,0.74
76,0.78,0.8066666666666666,0.7533333333333333
77,0.7733333333333333,0.7966666666666666,0.75
78,0.7866666666666666,0.8066666666666666,0.7666666666666667
79,0.7766666666666666,0.7966666666666666,0.7566666666666667
80,0.7883333333333333,0.82,0.7566666666666667
81,0.7933333333333333,0.8133333333333334,0.7733333333333333
82,0.7933333333333333,0.81,0.7766666666666666
83,0.7833333333333333,0.8066666666666666,0.76
84,0.78,0.8066666666666666,0.7533333333333333
85,0.7883333333333333,0.8133333333333334,0.7633333333333333
86,0.785,0.81,0.76
87,0.785,0.8133333333333334,0.7566666666666667
88,0.7933333333333333,0.8166666666666667,0.77
89,0.7733333333333333,0.7966666666666666,0.75
90,0.7816666666666666,0.8166666666666667,0.7466666666666667
91,0.7816666666666666,0.8133333333333334,0.75
92,0.7783333333333333,0.81,0.7466666666666667
93,0.79,0.82,0.76
94,0.7883333333333333,0.81,0.7666666666666667
95,0.7783333333333333,0.8,0.7566666666666667
96,0.785,0.81,0.76
97,0.7966666666666666,0.82,0.7733333333333333
98,0.7916666666666666,0.81,0.7733333333333333
99,0.7866666666666666,0.8166666666666667,0.7566666666666667
100,0.79,0.82,0.76
101,0.7966666666666666,0.83,0.7633333333333333
102,0.7883333333333333,0.8166666666666667,0.76
103,0.7933333333333333,0.8033333333333333,0.7833333333333333
104,0.7833333333333333,0.8066666666666666,0.76
105,0.7833333333333333,0.81,0.7566666666666667
106,0.78,0.8066666666666666,0.7533333333333333
107,0.7883333333333333,0.8066666666666666,0.77
108,0.7616666666666667,0.7866666666666666,0.7366666666666667
109,0.785,0.7966666666666666,0.7733333333333333
110,0.7783333333333333,0.8066666666666666,0.75
111,0.785,0.7966666666666666,0.7733333333333333
112,0.7833333333333333,0.8066666666666666,0.76
113,0.7833333333333333,0.7966666666666666,0.77
114,0.7783333333333333,0.7966666666666666,0.76
115,0.7866666666666666,0.8166666666666667,0.7566666666666667
116,0.7683333333333333,0.7866666666666666,0.75
117,0.7683333333333333,0.7866666666666666,0.75
118,0.77,0.8066666666666666,0.7333333333333333
119,0.775,0.79,0.76
120,0.7833333333333333,0.8033333333333333,0.7633333333333333
121,0.785,0.8,0.77
122,0.78,0.8033333333333333,0.7566666666666667
123,0.7733333333333333,0.8066666666666666,0.74
124,0.7733333333333333,0.8066666666666666,0.74
125,0.7733333333333333,0.8,0.7466666666666667
126,0.7783333333333333,0.7966666666666666,0.76
127,0.78,0.8066666666666666,0.7533333333333333
128,0.7716666666666666,0.8,0.7433333333333333
129,0.7683333333333333,0.7966666666666666,0.74
130,0.775,0.8033333333333333,0.7466666666666667
131,0.775,0.8033333333333333,0.7466666666666667
132,0.775,0.8033333333333333,0.7466666666666667
133,0.775,0.8033333333333333,0.7466666666666667
134,0.7683333333333333,0.7966666666666666,0.74
135,0.77,0.7966666666666666,0.7433333333333333
136,0.77,0.7966666666666666,0.7433333333333333
137,0.77,0.7966666666666666,0.7433333333333333
138,0.7683333333333333,0.7933333333333333,0.7433333333333333
139,0.7683333333333333,0.7933333333333333,0.7433333333333333
140,0.7683333333333333,0.7933333333333333,0.7433333333333333
141,0.7683333333333333,0.7933333333333333,0.7433333333333333
142,0.7766666666666666,0.79,0.7633333333333333
143,0.7766666666666666,0.8133333333333334,0.74
144,0.7766666666666666,0.8133333333333334,0.74
145,0.7766666666666666,0.8133333333333334,0.74
146,0.7766666666666666,0.8133333333333334,0.74
147,0.7766666666666666,0.8133333333333334,0.74
148,0.7766666666666666,0.8133333333333334,0.74
149,0.7766666666666666,0.8133333333333334,0.74
150,0.7766666666666666,0.8133333333333334,0.74
151,0.7766666666666666,0.8133333333333334,0.74
152,0.78,0.8,0.76
153,0.79,0.8166666666666667,0.7633333333333333
154,0.785,0.81,0.76
155,0.785,0.81,0.76
156,0.775,0.8033333333333333,0.7466666666666667
157,0.7766666666666666,0.8033333333333333,0.75
158,0.7766666666666666,0.8033333333333333,0.75
159,0.7766666666666666,0.7933333333333333,0.76
160,0.7766666666666666,0.7933333333333333,0.76
161,0.775,0.7933333333333333,0.7566666666666667
162,0.775,0.7933333333333333,0.7566666666666667
163,0.775,0.7933333333333333,0.7566666666666667
164,0.775,0.7933333333333333,0.7566666666666667
165,0.775,0.7933333333333333,0.7566666666666667
166,0.78,0.7966666666666666,0.7633333333333333
167,0.78,0.7966666666666666,0.7633333333333333
168,0.7766666666666666,0.7933333333333333,0.76
169,0.79,0.8166666666666667,0.7633333333333333
170,0.79,0.8166666666666667,0.7633333333333333
171,0.79,0.8166666666666667,0.7633333333333333
172,0.79,0.8166666666666667,0.7633333333333333
173,0.79,0.8166666666666667,0.7633333333333333
174,0.79,0.8166666666666667,0.7633333333333333
175,0.79,0.8166666666666667,0.7633333333333333
176,0.785,0.8133333333333334,0.7566666666666667
177,0.7833333333333333,0.81,0.7566666666666667
178,0.7833333333333333,0.81,0.7566666666666667
179,0.7833333333333333,0.81,0.7566666666666667
180,0.7816666666666666,0.8133333333333334,0.75
181,0.7816666666666666,0.8133333333333334,0.75
182,0.78,0.8,0.76
183,0.78,0.8,0.76
