,Glycosylation,Cross-link,Modified residue,Signal,Disulfide bond
A0A087X1C5,1,0,0,0,0
A0A0B4J2F0,0,0,0,0,0
A0A0B4J2F2,0,0,0,0,0
A0A0C5B5G6,0,0,0,0,0
A0A0K2S4Q6,1,0,0,1,1
A0A0U1RRE5,0,0,0,0,0
A0A1B0GTW7,5,0,0,1,0
A0AV02,1,0,0,0,0
A0AV96,0,0,5,0,0
A0AVF1,0,0,0,0,0
A0AVI4,0,0,0,0,0
A0AVK6,0,0,4,0,0
A0AVT1,0,0,6,0,0
A0FGR8,0,0,11,0,0
A0FGR9,0,0,0,0,0
A0JLT2,0,0,2,0,0
A0JNW5,0,0,5,0,0
A0JP26,0,0,0,0,0
A0M8Q6,0,0,0,0,2
A0MZ66,0,0,15,0,0
A0PJK1,2,0,3,0,0
A0PJY2,0,0,0,0,0
A0PK00,0,0,0,0,0
A0PK11,1,0,0,0,0
A1A4S6,0,0,0,0,0
A1A4Y4,0,0,0,0,0
A1A519,0,0,2,0,0
A1A5B4,4,0,0,0,0
A1A5C7,2,0,0,0,0
A1E959,12,0,0,1,0
A1KXE4,1,0,2,0,0
A1KZ92,1,0,0,1,10
A1L0T0,0,0,0,0,0
A1L167,0,0,0,0,0
A1L190,0,0,0,0,0
A1L390,0,0,19,0,0
A1L3X0,0,0,1,0,1
A1L4H1,3,0,0,1,15
A1L4K1,0,0,0,0,0
A1X283,0,0,6,0,0
A1XBS5,0,0,0,0,0
A1Z1Q3,0,1,0,0,0
A2A288,0,0,0,0,0
A2A2Y4,0,0,0,0,0
A2IDD5,0,0,0,0,0
A2PYH4,0,0,0,0,0
A2RRP1,0,0,3,0,0
A2RTX5,0,0,2,0,0
A2RU14,0,0,0,0,0
A2RU30,0,0,1,0,0
A2RU49,0,0,0,0,0
A2RUB1,0,0,0,0,0
A2RUB6,0,0,4,0,0
A2RUC4,0,0,0,0,0
A2RUH7,0,0,2,0,1
A2VDJ0,6,0,1,1,0
A2VEC9,43,0,0,1,103
A3KMH1,5,0,0,0,0
A4D0S4,16,0,0,1,53
